QuoteId,MinPrice,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
4,51618,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-01T00:00:00,2017-04-14T19:21:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
5,34818,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-02T00:00:00,2017-04-13T18:26:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
6,95850,True,881,43268,65698,2017-05-01T00:00:00,881,65698,43268,2017-05-03T00:00:00,2017-04-16T07:50:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
7,67715,False,1384,43268,65465,2017-05-01T00:00:00,1368,65698,43268,2017-05-03T00:00:00,2017-04-16T07:50:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Swiss,Lufthansa
8,50160,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-04T00:00:00,2017-04-13T18:26:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
9,40067,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-05T00:00:00,2017-04-02T12:23:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
10,51166,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-09T17:29:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
11,36573,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-12T22:12:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
12,29897,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-03T20:21:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
13,33432,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-09T00:00:00,2017-04-13T06:11:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
14,28501,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-03T21:23:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
15,47432,True,1914,43268,66270,2017-05-01T00:00:00,1914,66270,43268,2017-05-12T00:00:00,2017-04-10T18:29:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
